chaperón	chaperona
faveador	faveadora
troleador	troleadora
tuiteador	tuiteadora
tacobelero	tacobelera
raquetero	raquetera
landsquipero	landsquipera
rufero	rufera
trailero	trailera
aiscrinero	aiscrinera
califeño	califeña
californio	california
barista	barista
barténder	barténder
bartender	bartender
taipista	taipista
watchman	watchman
rookie	rookie
cleaner	cleaner
soloísta	soloísta
droguista	droguista
phisher	phisher
desperado	desperado
teen	teen
teenager	teenager
mánager	mánager
manager	manager
chirlíder	chirlíder
cheerleader	cheerleader
jandimán	jandimán
handyman	handyman
jánitor	jánitor
janitor	janitor
yánitor	yánitor
lánlor	lánlor
landlord	landlord
producer	producer
ranger	ranger
hoste	hoste
coach	coach
boss	boss
áncorman	áncorman
podiatra	podiatra
