and	और
was	था
was	थी
for	लिये
that	उस
that	कि
with	साथ
from	से
from	इससे
this	ये
this	यह
this	इस
utc	यूटीसी
utc	utc
his	उसकी
his	उसका
his	उसके
not	नही
not	नहीं
are	हैं
talk	बात
which	जिससे
also	भी
has	रै
were	यहूद
but	परन्तु
but	लेकिन
but	लेकीन
but	मगर
but	लकिन
one	एक
new	नया
new	नई
first	प्रथम
first	पहली
first	पहले
first	पहला
page	पृष्ठ
page	पेज
you	आपको
you	आप
you	तुम
they	उन्होंने
they	वे
had	था
article	लेख
article	आलेख
who	जिसने
who	कौन
who	जो
all	सभी
all	सब
their	उनकी
their	इनकी
their	उनका
their	उनके
there	वहाँ
there	वहां
there	वहा
there	वहीँ
been	महरूम
made	बनाया
made	बना
its	इसका
its	इसकी
its	इसके
people	लोग
people	लोगों
may	मई
may	may
after	बाद
other	अन्य
should	चाहिए
two	दो
score	अंक
score	स्कोर
her	उसे
her	उसका
her	उसकी
her	उसके
would	होता
more	ज्यादा
more	आदि
more	अधिक
she	वो
about	परिचय
when	कब
when	जब
time	वक़्त
time	वक्त
time	समय
team	टीम
team	टोली
american	अमेरिकन
american	अमेरिकी
american	अमरीकी
such	ऐसी
such	ऐसे
discussion	परिचर्चा
discussion	चर्चा
links	लिंक
links	लिंक्स
links	कड़ियाँ
links	कड़ी
only	सिर्फ
only	केवल
only	तभी
some	कुछ
see	देख
see	देखें
see	देखिए
united	यूनाइटेड
united	संयुक्त
years	सालों
years	वर्ष
years	साल
years	वर्षों
years	सालो
school	विद्यालय
school	school
school	स्कूल
world	दुनिया
world	विश्व
world	जग
world	संसार
university	विश्वविद्यालय
university	यूनिवर्सिटी
university	विश्वविद्यालयों
during	दौरान
out	बाहर
out	आउट
state	अवस्था
state	स्टेट
state	स्थिति
state	राज्य
states	राज्यों
states	राज्यो
states	स्टेट्स
states	राज्य
national	राष्टीय
national	राष्ट्रीय
national	नेशनल
wikipedia	विकिपीडिया
year	वर्ष
year	साल
most	अधिकांश
most	सर्वाधिक
most	मोस्ट
most	सबसे
city	शहर
city	सिटी
city	नगर
used	प्रयुक्त
then	फिर
then	तब
than	than
county	लैन
county	काउंटी
external	बाहरी
external	बाह्य
where	कहाँ
where	कहां
where	जहां
where	जहाँ
will	करेंगे
will	होगी
will	करेगा
will	करेगी
will	होगा
what	क्या
what	कया
delete	हटाएँ
any	कोई
these	ये
january	जनवरी
march	मार्च
march	कूच
august	अगस्त
july	जुलाई
being	होने
film	फ़िल्म
film	फिल्म
film	फिल्मी
him	उससे
him	उसको
him	उसे
many	कई
many	अनेक
south	दक्षिणी
south	साउथ
south	दक्षिण
september	सितम्बर
september	सितंबर
like	like
like	जैसे
october	अक्टूबर
october	अक्तूबर
three	तीन
june	जून
well	कुआँ
well	खैर
well	खूब
use	उपयोग
war	युद्ध
under	तहत
under	अधीन
under	अंतर्गत
them	उनसे
them	उनके
them	उनको
them	उन्हें
april	अप्रैल
born	जन्म
born	जन्मे
born	born
december	दिसंबर
december	दिसम्बर
link	लिंक
link	कड़ी
while	जबकी
while	जबकि
later	बाद
