nominados	nominadas
andróginos	andróginas
nadadores	nadadoras
peluqueros	peluqueras
mozos	mozas
padrastros	madrastras
villanos	villanas
receptores	receptoras
primogénitos	primogénitas
agitadores	agitadoras
oftalmólogos	oftalmólogas
cosechadores	cosechadoras
verduleros	verduleras
colonos	colonas
príncipes	princesas
comadrones	comadronas
vándalos	vándalas
hombres	mujeres
musulmanes	musulmanas
grabadores	grabadoras
arquitectos	arquitectas
arqueólogos	arqueólogas
agresores	agresoras
magos	magas
brujos	brujas
abanderados	abanderadas
odontólogos	odontólogas
actores	actrices
ateos	ateas
carniceros	carniceras
católicos	católicas
africanos	africanas
cardiólogos	cardiólogas
fumadores	fumadoras
moteros	moteras
señores	señoras
estoicos	estoicas
advenedizos	advenedizas
proveedores	proveedoras
psicólogos	psicólogas
sicólogos	sicólogas
políticos	políticas
politicastros	politicastras
misioneros	misioneras
monjes	monjas
machos	hembras
maestros	maestras
hijastros	hijastras
abuelos	abuelas
antropólogos	antropólogas
microbiólogos	microbiólogas
leñadores	leñadoras
numismáticos	numismáticas
ecólogos	ecólogas
saltadores	saltadoras
filósofos	filósofas
adivinos	adivinas
ermitaños	ermitañas
gitanos	gitanas
ingenieros	ingenieras
asesinos	asesinas
camareros	camareras
latinoamericanos	latinoamericanas
aventureros	aventureras
veganos	veganas
teólogos	teólogas
hermanos	hermanas
hermanitos	hermanitas
profesores	profesoras
luteranos	luteranas
sacerdotes	sacerdotisas
biógrafos	biógrafas
padres	madres
padrecitos	madrecitas
afroamericanos	afroamericanas
diplomáticos	diplomáticas
curanderos	curanderas
compañeros	compañeras
blogueros	blogueras
bailarines	bailarinas
mentirosos	mentirosas
viudos	viudas
ornitólogos	ornitólogas
marqueses	marquesas
trovadores	trovadoras
venecianos	venecianas
vaqueros	vaqueras
muchachos	muchachas
novios	novias
lectores	lectoras
renegados	renegadas
boxeadores	boxeadoras
quiroprácticos	quiroprácticas
prometidos	prometidas
compositores	compositoras
presos	presas
extranjeros	extranjeras
pescaderos	pescaderas
buceadores	buceadoras
aliados	aliadas
costureros	costureras
ahijados	ahijadas
putos	putas
ciudadanos	ciudadanas
anticuarios	anticuarias
taiwaneses	taiwanesas
prisioneros	prisioneras
tenderos	tenderas
héroes	heroínas
consejeros	consejeras
isleños	isleñas
doctores	doctoras
primos	primas
primitos	primitas
invasores	invasoras
astrofísicos	astrofísicas
donceles	doncellas
albinos	albinas
asiáticos	asiáticas
nestorianos	nestorianas
zoólogos	zoólogas
pecadores	pecadoras
emperadores	emperatrices
sirvientes	sirvientas
cristianos	cristianas
subcampeones	subcampeonas
cocineros	cocineras
sustitutos	sustitutas
coptos	coptas
coordinadores	coordinadoras
diseñadores	diseñadoras
granjeros	granjeras
barones	baronesas
aviadores	aviadoras
solterones	solteronas
hebreos	hebreas
traductores	traductoras
camarógrafos	camarógrafas
niños	niñas
niñitos	niñitas
casamenteros	casamenteras
zapateros	zapateras
árbitros	árbitras
dormilones	dormilonas
modistos	modistas
empleados	empleadas
abades	abadesas
colados	coladas
entrevistados	entrevistadas
tocayos	tocayas
banqueros	banqueras
censores	censoras
abogados	abogadas
ganadores	ganadoras
médicos	médicas
delegados	delegadas
anfitriones	anfitrionas
tíos	tías
programadores	programadoras
eslavos	eslavas
sociólogos	sociólogas
criminólogos	criminólogas
moderadores	moderadoras
sobrinos	sobrinas
hechiceros	hechiceras
vascos	vascas
coreanos	coreanas
voceros	voceras
encantadores	encantadoras
esposos	esposas
herbolarios	herbolarias
herreros	herreras
conscriptos	conscriptas
adultos	adultas
biólogos	biólogas
zurdos	zurdas
entrenadores	entrenadoras
pelirrojos	pelirrojas
soberanos	soberanas
etruscos	etruscas
escultores	escultoras
caseros	caseras
botánicos	botánicas
relojeros	relojeras
dioses	diosas
diositos	diositas
farmacéuticos	farmacéuticas
galanes	beldades
evaluadores	evaluadoras
domadores	domadoras
dactilógrafos	dactilógrafas
traidores	traidoras
aldeanos	aldeanas
gobernadores	gobernadoras
caballeros	damas
fisiólogos	fisiólogas
alfareros	alfareras
escoceses	escocesas
mineros	mineras
guitarreros	guitarreras
duques	duquesas
autores	autoras
poetas	poetisas
historiadores	historiadoras
fiduciarios	fiduciarias
directores	directoras
francófilos	francófilas
chicos	chicas
