the	на
was	бе
for	за
that	че
with	със
from	от
this	това
utc	utc
his	неговият
his	неговата
his	му
his	неговия
not	не
are	са
talk	говори
talk	поговорим
which	което
which	която
also	също
were	бяха
but	но
one	една
one	един
one	едно
new	ню
new	ново
new	нов
new	нови
new	нова
first	първи
first	първо
page	страница
page	страницата
page	page
you	си
you	ти
you	ви
they	те
article	статия
article	член
who	кой
all	всички
all	всичко
their	тяхното
their	тяхната
their	техните
their	техният
there	там
made	направена
made	направено
made	направен
made	направени
people	народ
people	хора
people	хората
may	май
after	след
other	друго
other	друг
other	други
two	двама
two	две
score	резултат
her	нея
can	могат
can	can
would	би
more	повече
more	още
she	тя
about	относно
when	когато
when	кога
time	времето
time	време
team	тийм
team	отбор
team	отбора
team	екип
team	team
american	американска
american	американско
american	американски
american	американец
such	такава
such	такива
such	такова
such	такъв
discussion	дискусия
discussion	обсъждания
discussion	дискусии
discussion	обсъждане
links	връзки
only	само
only	единствено
some	някои
see	видя
see	вижте
see	виж
united	обединени
united	обединена
united	обединен
united	юнайтед
united	обединено
years	години
years	годините
school	училището
school	школа
school	училище
world	свят
world	света
university	университет
university	university
university	университета
out	вън
out	навън
state	щат
state	държава
state	държавно
states	държави
states	щати
national	национална
national	национални
national	национален
national	национално
wikipedia	уикипедия
year	година
year	годината
most	повечето
city	град
city	градът
city	сити
city	city
over	над
used	използвано
used	използван
used	използвани
used	използвана
then	тогава
county	окръг
county	графство
external	външна
external	външно
external	външни
external	външен
where	къде
will	уил
what	какво
delete	изтриване
delete	изтриете
delete	изтрий
these	тези
january	януари
march	март
august	август
august	аугуст
july	юли
film	филм
film	лента
him	него
many	mnogo
many	много
south	южно
south	южен
south	юг
south	южна
september	септември
like	като
like	like
between	между
october	октомври
three	три
three	трима
june	джун
june	юни
well	еее
use	използване
use	употреба
use	използвайте
war	войната
war	война
under	под
them	ги
them	тях
april	ейприл
april	април
born	родени
born	роден
born	родена
december	декември
link	връзка
link	линк
while	докато
part	част
november	ноември
further	допълнително
players	играчи
list	списък
february	февруари
known	позната
known	известни
known	познат
known	известна
known	известен
second	второ
second	втора
second	втори
name	името
name	наименование
name	име
group	група
group	групово
group	групиране
group	групова
history	историята
history	история
series	серия
series	поредица
series	сериал
series	серии
just	просто
just	само
north	северно
north	север
north	северна
work	работа
work	труд
work	работи
before	преди
season	сезон
season	сезона
both	двете
high	висок
high	висока
high	високи
high	високо
through	чрез
through	през
district	окръг
district	област
district	район
now	сега
comments	мнение
comments	забележки
comments	коментари
comments	мнения
because	защото
football	футбол
football	футболен
music	music
music	музиката
music	музика
diff	разлики
diff	разлика
century	век
century	вековен
century	века
league	лигата
league	лига
edits	редакции
debate	разискване
debate	разисквания
debate	дебат
debate	дебати
title	заглавие
title	дял
title	титла
articles	изделия
articles	статии
articles	артикули
john	джон
john	йоан
same	същият
same	същата
same	същото
including	включително
english	английски
english	bulgarian
english	англичани
album	албум
number	брой
number	число
number	номер
against	срещу
against	против
family	семейство
family	семейството
user	потребителски
user	потребител
user	ползвател
based	базирана
area	зона
area	площ
area	област
area	район
york	йорк
life	живот
life	живота
life	life
life	лайф
life	животът
british	британско
british	британци
british	британска
british	британец
british	британски
international	международно
international	международен
international	интернешънъл
international	международни
international	международна
game	мач
game	гейм
game	играта
game	игра
above	над
above	отгоре
club	club
club	клуб
club	клубът
your	вашият
your	твоят
your	твоя
your	твоята
until	докато
early	ранни
early	рано
early	ърли
west	запад
west	западно
west	западна
west	западен
west	уест
house	house
house	къща
house	къщата
house	хаус
company	дружество
company	компания
company	company
company	рота
company	фирма
general	обща
general	общи
general	генерал
left	ляво
left	ляв
left	наляво
very	много
here	тук
don	дон
living	жива
living	живите
living	живи
day	денят
day	ден
several	няколко
place	място
party	парти
party	party
party	купон
party	партия
college	колежа
college	колежът
college	колеж
result	резултат
result	резултата
keep	запази
appropriate	подходящ
appropriate	подходяща
appropriate	уместно
appropriate	подходящи
appropriate	подходящо
four	четири
four	четирима
subsequent	последващ
subsequent	последваща
subsequent	последващо
even	дори
even	даже
class	клас
class	класа
government	правителство
how	как
called	наречен
called	наречена
each	всяка
each	всеки
found	намерено
found	намерени
found	открит
found	намерена
found	намерен
center	център
per	пер
style	стил
com	com
com	ком
long	дълги
long	дълго
