nominado	nominada
andrógino	andrógina
nadador	nadadora
peluquero	peluquera
mozo	moza
padrastro	madrastra
villano	villana
receptor	receptora
primogénito	primogénita
agitador	agitadora
oftalmólogo	oftalmóloga
cosechador	cosechadora
verdulero	verdulera
colono	colona
príncipe	princesa
comadrón	comadrona
vándalo	vándala
hombre	mujer
musulmán	musulmana
grabador	grabadora
arquitecto	arquitecta
arqueólogo	arqueóloga
agresor	agresora
mago	maga
brujo	bruja
abanderado	abanderada
odontólogo	odontóloga
actor	actriz
ateo	atea
carnicero	carnicera
católico	católica
africano	africana
cardiólogo	cardióloga
fumador	fumadora
motero	motera
señor	señora
estoico	estoica
advenedizo	advenediza
proveedor	proveedora
psicólogo	psicóloga
sicólogo	sicóloga
político	política
politicastro	politicastra
misionero	misionera
monje	monja
macho	hembra
maestro	maestra
hijastro	hijastra
abuelo	abuela
antropólogo	antropóloga
microbiólogo	microbióloga
leñador	leñadora
numismático	numismática
ecólogo	ecóloga
saltador	saltadora
filósofo	filósofa
adivino	adivina
ermitaño	ermitaña
gitano	gitana
ingeniero	ingeniera
asesino	asesina
camarero	camarera
latinoamericano	latinoamericana
aventurero	aventurera
vegano	vegana
teólogo	teóloga
hermano	hermana
hermanito	hermanita
profesor	profesora
luterano	luterana
sacerdote	sacerdotisa
biógrafo	biógrafa
padre	madre
padrecito	madrecita
afroamericano	afroamericana
diplomático	diplomática
curandero	curandera
compañero	compañera
bloguero	bloguera
bailarín	bailarina
mentiroso	mentirosa
viudo	viuda
ornitólogo	ornitóloga
marqués	marquesa
trovador	trovadora
veneciano	veneciana
vaquero	vaquera
muchacho	muchacha
novio	novia
lector	lectora
renegado	renegada
boxeador	boxeadora
quiropráctico	quiropráctica
prometido	prometida
compositor	compositora
preso	presa
extranjero	extranjera
pescadero	pescadera
buceador	buceadora
aliado	aliada
costurero	costurera
ahijado	ahijada
puto	puta
ciudadano	ciudadana
anticuario	anticuaria
taiwanés	taiwanesa
prisionero	prisionera
tendero	tendera
héroe	heroína
consejero	consejera
isleño	isleña
doctor	doctora
primo	prima
primito	primita
invasor	invasora
astrofísico	astrofísica
doncel	doncella
albino	albina
asiático	asiática
nestoriano	nestoriana
zoólogo	zoóloga
pecador	pecadora
emperador	emperatriz
sirviente	sirvienta
cristiano	cristiana
subcampeón	subcampeona
cocinero	cocinera
sustituto	sustituta
copto	copta
coordinador	coordinadora
diseñador	diseñadora
granjero	granjera
barón	baronesa
aviador	aviadora
solterón	solterona
hebreo	hebrea
traductor	traductora
camarógrafo	camarógrafa
niño	niña
niñito	niñita
casamentero	casamentera
zapatero	zapatera
árbitro	árbitra
dormilón	dormilona
modisto	modista
empleado	empleada
abad	abadesa
colado	colada
entrevistado	entrevistada
tocayo	tocaya
banquero	banquera
censor	censora
abogado	abogada
ganador	ganadora
médico	médica
delegado	delegada
anfitrión	anfitriona
tío	tía
programador	programadora
eslavo	eslava
sociólogo	socióloga
criminólogo	criminóloga
moderador	moderadora
sobrino	sobrina
hechicero	hechicera
vasco	vasca
coreano	coreana
vocero	vocera
encantador	encantadora
esposo	esposa
herbolario	herbolaria
herrero	herrera
conscripto	conscripta
adulto	adulta
biólogo	bióloga
zurdo	zurda
entrenador	entrenadora
pelirrojo	pelirroja
soberano	soberana
etrusco	etrusca
escultor	escultora
casero	casera
botánico	botánica
relojero	relojera
dios	diosa
diosito	diosita
farmacéutico	farmacéutica
galán	beldad
evaluador	evaluadora
domador	domadora
dactilógrafo	dactilógrafa
traidor	traidora
aldeano	aldeana
gobernador	gobernadora
caballero	dama
fisiólogo	fisióloga
alfarero	alfarera
escocés	escocesa
minero	minera
guitarrero	guitarrera
duque	duquesa
autor	autora
poeta	poetisa
historiador	historiadora
fiduciario	fiduciaria
director	directora
francófilo	francófila
chico	chica
